"deg";"E";"Cc";"cCc"
3;3.0;1.0;0.025
3;3.0;1.0;0.025
2;1.0;1.0;0.0125
5;6.0;0.6;0.03
2;1.0;1.0;0.0125
3;3.0;1.0;0.025
3;3.0;1.0;0.025
29;49.0;0.1206896551724138;0.04224137931034483
4;5.0;0.8333333333333334;0.03125
4;5.0;0.8333333333333334;0.03125
3;3.0;1.0;0.025
3;3.0;1.0;0.025
14;11.0;0.12087912087912088;0.019642857142857142
1;0.0;0;0.0
1;0.0;0;0.0
2;0.0;0.0;0.0
3;3.0;1.0;0.025
1;0.0;0;0.0
3;3.0;1.0;0.025
3;3.0;1.0;0.025
1;0.0;0;0.0
2;0.0;0.0;0.0
2;1.0;1.0;0.0125
2;1.0;1.0;0.0125
1;0.0;0;0.0
8;7.0;0.25;0.021875
1;0.0;0;0.0
2;1.0;1.0;0.0125
4;4.0;0.6666666666666666;0.025
2;1.0;1.0;0.0125
3;1.0;0.3333333333333333;0.008333333333333333
2;0.0;0.0;0.0
4;3.0;0.5;0.01875
2;1.0;1.0;0.0125
3;2.0;0.6666666666666666;0.016666666666666666
3;2.0;0.6666666666666666;0.016666666666666666
2;1.0;1.0;0.0125
3;2.0;0.6666666666666666;0.016666666666666666
3;3.0;1.0;0.025
7;19.0;0.9047619047619048;0.06785714285714287
3;3.0;1.0;0.025
1;0.0;0;0.0
1;0.0;0;0.0
1;0.0;0;0.0
19;76.0;0.4444444444444444;0.1
8;25.0;0.8928571428571429;0.078125
57;511.0;0.3201754385964913;0.2241228070175439
3;2.0;0.6666666666666666;0.016666666666666666
4;4.0;0.6666666666666666;0.025
10;35.0;0.7777777777777778;0.0875
4;6.0;1.0;0.0375
1;0.0;0;0.0
5;8.0;0.8;0.04
7;19.0;0.9047619047619048;0.06785714285714287
8;25.0;0.8928571428571429;0.078125
6;12.0;0.8;0.05
4;4.0;0.6666666666666666;0.025
8;23.0;0.8214285714285714;0.071875
10;29.0;0.6444444444444444;0.0725
8;18.0;0.6428571428571429;0.05625
6;14.0;0.9333333333333333;0.058333333333333334
10;35.0;0.7777777777777778;0.0875
9;29.0;0.8055555555555556;0.08055555555555556
3;3.0;1.0;0.025
41;273.0;0.33292682926829265;0.16646341463414632
4;4.0;0.6666666666666666;0.025
78;933.0;0.3106893106893107;0.29903846153846153
6;10.0;0.6666666666666667;0.04166666666666667
4;5.0;0.8333333333333334;0.03125
3;2.0;0.6666666666666666;0.016666666666666666
9;17.0;0.4722222222222222;0.04722222222222222
7;19.0;0.9047619047619048;0.06785714285714287
6;10.0;0.6666666666666667;0.04166666666666667
5;8.0;0.8;0.04
9;18.0;0.5;0.05
6;8.0;0.5333333333333333;0.03333333333333333
4;5.0;0.8333333333333334;0.03125
3;3.0;1.0;0.025
3;3.0;1.0;0.025
10;34.0;0.7555555555555555;0.08499999999999999
5;8.0;0.8;0.04
11;29.0;0.5272727272727272;0.0659090909090909
15;46.0;0.43809523809523815;0.07666666666666667
2;1.0;1.0;0.0125
5;5.0;0.5;0.025
3;3.0;1.0;0.025
3;2.0;0.6666666666666666;0.016666666666666666
1;0.0;0;0.0
1;0.0;0;0.0
9;27.0;0.75;0.075
18;148.0;0.9673202614379084;0.20555555555555555
20;174.0;0.9157894736842105;0.21749999999999997
4;6.0;1.0;0.0375
34;402.0;0.716577540106952;0.29558823529411765
22;210.0;0.9090909090909091;0.23863636363636362
7;17.0;0.8095238095238094;0.06071428571428571
3;2.0;0.6666666666666666;0.016666666666666666
2;1.0;1.0;0.0125
9;33.0;0.9166666666666666;0.09166666666666666
7;17.0;0.8095238095238094;0.06071428571428571
14;73.0;0.8021978021978022;0.13035714285714287
4;4.0;0.6666666666666666;0.025
2;1.0;1.0;0.0125
3;2.0;0.6666666666666666;0.016666666666666666
3;3.0;1.0;0.025
6;13.0;0.8666666666666666;0.05416666666666666
2;1.0;1.0;0.0125
4;5.0;0.8333333333333334;0.03125
50;740.0;0.6040816326530613;0.37
2;1.0;1.0;0.0125
7;17.0;0.8095238095238094;0.06071428571428571
70;968.0;0.4008281573498965;0.34571428571428575
2;1.0;1.0;0.0125
1;0.0;0;0.0
2;1.0;1.0;0.0125
6;9.0;0.6;0.0375
1;0.0;0;0.0
139;1413.0;0.14732561776665623;0.254136690647482
29;359.0;0.8842364532019704;0.30948275862068964
8;19.0;0.6785714285714286;0.059375
1;0.0;0;0.0
1;0.0;0;0.0
26;203.0;0.6246153846153846;0.1951923076923077
2;1.0;1.0;0.0125
15;81.0;0.7714285714285715;0.135
8;24.0;0.8571428571428571;0.075
4;6.0;1.0;0.0375
9;30.0;0.8333333333333334;0.08333333333333334
5;10.0;1.0;0.05
9;20.0;0.5555555555555556;0.05555555555555556
45;673.0;0.6797979797979798;0.3738888888888889
4;6.0;1.0;0.0375
15;85.0;0.8095238095238095;0.14166666666666666
2;1.0;1.0;0.0125
1;0.0;0;0.0
5;7.0;0.7;0.034999999999999996
10;28.0;0.6222222222222222;0.06999999999999999
3;2.0;0.6666666666666666;0.016666666666666666
8;15.0;0.5357142857142857;0.046875
6;13.0;0.8666666666666666;0.05416666666666666
2;1.0;1.0;0.0125
17;50.0;0.36764705882352944;0.07352941176470588
13;64.0;0.8205128205128206;0.12307692307692308
59;506.0;0.2957334891876096;0.21440677966101696
