"Te";"over";"cOver";"m";"M"
8;0.47058823529411764;0.09411764705882353;13;14
4;0.08695652173913043;0.03278688524590164;5;47
30;0.47619047619047616;0.2727272727272727;34;61
42;0.6086956521739131;0.40384615384615385;46;67
49;0.3402777777777778;0.28994082840236685;56;139
33;0.5789473684210527;0.34375;42;50
7;0.11475409836065574;0.05263157894736842;9;61
5;0.078125;0.037037037037037035;10;61
6;0.2222222222222222;0.06060606060606061;9;26
33;0.532258064516129;0.3235294117647059;41;56
6;0.07142857142857142;0.0379746835443038;7;85
27;0.43548387096774194;0.2727272727272727;44;47
6;0.75;0.07407407407407407;8;8
3;0.10714285714285714;0.02857142857142857;4;29
6;0.5454545454545454;0.07228915662650602;9;10
6;0.06382978723404255;0.03592814371257485;8;94
9;0.06521739130434782;0.0430622009569378;10;139
17;0.288135593220339;0.1440677966101695;22;56
22;0.6875;0.2558139534883721;27;29
2;0.11764705882352941;0.021739130434782608;6;15
0;0.0;0;1;4
17;0.27419354838709675;0.13709677419354838;19;62
14;0.23333333333333334;0.112;16;60
39;0.5735294117647058;0.3644859813084112;42;67
4;0.0975609756097561;0.034482758620689655;6;41
25;0.5102040816326531;0.24752475247524752;29;47
78;0.4406779661016949;0.5571428571428572;118;139
57;0.4014084507042254;0.35403726708074534;62;139
18;0.3829787234042553;0.16822429906542055;21;46
6;0.06451612903225806;0.03592814371257485;7;94
35;0.35714285714285715;0.28688524590163933;57;78
12;0.2033898305084746;0.10526315789473684;26;47
23;0.42592592592592593;0.2169811320754717;29;50
41;0.41;0.2949640287769784;42;101
3;0.03225806451612903;0.01764705882352941;4;94
31;0.3924050632911392;0.24603174603174602;34;78
2;0.022727272727272728;0.012195121951219513;5;87
18;0.34615384615384615;0.15789473684210525;19;53
19;0.24050632911392406;0.13768115942028986;22;78
30;0.45454545454545453;0.30303030303030304;48;50
12;0.1935483870967742;0.09448818897637795;16;60
19;0.4523809523809524;0.18811881188118812;22;41
3;0.3333333333333333;0.03571428571428571;6;8
35;0.25925925925925924;0.26717557251908397;85;87
20;0.5405405405405406;0.21052631578947367;23;36
41;0.5125;0.3904761904761905;56;67
14;0.23333333333333334;0.12173913043478261;26;50
17;0.3333333333333333;0.15454545454545454;22;48
